CODIGO_DA_IES;NOME_DA_IES;SIGLA;CATEGORIA_DA_IES;COMUNITARIA;CONFESSIONAL;FILANTROPICA;ORGANIZACAO_ACADEMICA;CODIGO_MUNICIPIO_IBGE;MUNICIPIO;UF;SITUACAO_IES
768;FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANA;FANA;Privada;N;N;N;Faculdade;5006200.0;Nova Andradina;MS;Extinta
10071;FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS - ITEPAFACULDADES;ITEPAFACULDADES;Privada;N;N;N;Faculdade;4314100.0;Passo Fundo;RS;Ativa
15355;Faculdade Presidente Antônio Carlos de Bom Despacho;;Privada;N;N;N;Faculdade;3107406.0;Bom Despacho;MG;Extinta
13527;FACULDADE CANÇÃO NOVA - FCN;FCN;Privada;N;N;N;Faculdade;3508603.0;Cachoeira Paulista;SP;Ativa
2116;FACULDADE IGUAPENSE SANTO AUGUSTO - FISA;FISA;Privada;N;N;N;Faculdade;3520301.0;Iguape;SP;Extinta
1939;INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL - INESUL;INESUL;Privada;N;N;N;Faculdade;4113700.0;Londrina;PR;Ativa
3186;FACULDADE DE SÃO ROQUE - FASAR;FASAR;Privada;N;N;N;Faculdade;3550605.0;São Roque;SP;Ativa
1964;FACULDADE DE TECNOLOGIA EM HOTELARIA, GASTRONOMIA E TURISMO DE SÃO PAULO - HOTEC;HOTEC;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
4153;Centro Universitário Joaquim Nabuco de Recife - UNINABUCO RECIFE;UNINABUCO RECIFE;Privada;N;N;N;Centro Universitário;2611606.0;Recife;PE;Ativa
3804;Centro Universitário Senac - RS;RS;Privada;N;N;N;Centro Universitário;4314902.0;Porto Alegre;RS;Ativa
1833;FACULDADE DE ARUJÁ - FAR;FAR;Privada;N;N;N;Faculdade;3503901.0;Arujá;SP;Extinta
510;FACULDADE WENCESLAU BRAZ;;Privada;N;S;N;Faculdade;3132404.0;Itajubá;MG;Ativa
2447;INSTITUTO EDUCACIONAL DE CASTRO - INEC;INEC;Privada;N;N;N;Faculdade;4104907.0;Castro;PR;Extinta
22248;FACULDADE SUCESSO - FACSU;FACSU;Privada;N;N;N;Faculdade;2513901.0;São Bento;PB;Ativa
837;FACULDADE DE CIÊNCIAS HUMANAS DE FORTALEZA - FCHFOR;FCHFOR;Privada;N;N;N;Faculdade;2304400.0;Fortaleza;CE;Extinta
14207;Faculdade Presidente Antônio Carlos de Juatuba - FUNEES;FUNEES;Privada;N;N;N;Faculdade;3136652.0;Juatuba;MG;Extinta
25307;FACULDADE ITPAC ABAETETUBA - ITPAC ABAET;ITPAC ABAET;Privada;N;N;N;Faculdade;1500107.0;Abaetetuba;PA;Ativa
1527;FACULDADE TAMOIOS - FATA;FATA;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Extinta
15581;Faculdade de Tecnologia de São José dos Campos - Jessen Vidal - FATECSJCAMPOS;FATECSJCAMPOS;Pública;N;N;N;Faculdade;3549904.0;São José dos Campos;SP;Ativa
1606;FACULDADES INTEGRADAS DE CASSILÂNDIA - FIC;FIC;Privada;N;N;N;Faculdade;5002902.0;Cassilândia;MS;Ativa
1063;Faculdade Doctum de Vila Velha - DOCTUM;DOCTUM;Privada;N;N;N;Faculdade;3205200.0;Vila Velha;ES;Ativa
4452;CENTRO UNIVERSITÁRIO ANHANGUERA DE MARABÁ;;Privada;N;N;N;Centro Universitário;1504208.0;Marabá;PA;Ativa
22219;FACULDADE UNIVERITAS UNIVERSUS VERITAS DE CONTAGEM - VERITAS CONTAGEM;VERITAS CONTAGEM;Privada;N;N;N;Faculdade;3118601.0;Contagem;MG;Extinta
22452;FACULDADE ATITUDE DE EDUCAÇÃO CONTINUADA - FAEC;FAEC;Privada;N;N;N;Faculdade;3515509.0;Fernandópolis;SP;Ativa
1358;FACULDADE DE PEDAGOGIA DE AFONSO CLÁUDIO - ISEAC;ISEAC;Privada;N;N;N;Faculdade;3200102.0;Afonso Cláudio;ES;Extinta
15715;FACULDADE DE TECNOLOGIA PROFESSOR ANTÔNIO SEABRA - FATEC LINS;FATEC LINS;Pública;N;N;N;Faculdade;3527108.0;Lins;SP;Ativa
20534;Centro de Ensino Superior Riograndense Guapore - CESURG Guapore;CESURG Guapore;Privada;N;N;N;Faculdade;4309407.0;Guaporé;RS;Ativa
15518;Facudade de Morrinhos - FAM;FAM;Privada;N;N;N;Faculdade;5213806.0;Morrinhos;GO;Extinta
951;FACULDADES INTEGRADAS DE COXIM - FICO;FICO;Privada;N;N;N;Faculdade;5003306.0;Coxim;MS;Extinta
2573;FACULDADE TEOLÓGICA SUL AMERICANA - FTSA;FTSA;Privada;N;N;N;Faculdade;4113700.0;Londrina;PR;Ativa
2175;Centro Universitário Uniasselvi de Blumenau;;Privada;N;N;N;Centro Universitário;4202404.0;Blumenau;SC;Ativa
1680;Faculdade Unirb - Mossoró - F. UNIRB;F. UNIRB;Privada;N;N;N;Faculdade;2408003.0;Mossoró;RN;Ativa
1899;FACULDADE DE NOVA ESPERANÇA;;Privada;N;N;N;Faculdade;4116901.0;Nova Esperança;PR;Extinta
4780;FACULDADE DE CIÊNCIAS DA SAÚDE DE UNAÍ - FACISA;FACISA;Privada;N;N;N;Faculdade;3170404.0;Unaí;MG;Ativa
24490;Faculdade Unieducar;;Privada;N;N;N;Faculdade;2304400.0;Fortaleza;CE;Ativa
23868;Link School of Business - LSB;LSB;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
2642;FACULDADE SÃO VICENTE - FASVIPA;FASVIPA;Privada;N;N;N;Faculdade;2706406.0;Pão de Açúcar;AL;Ativa
22257;Faculdade de Direito AVANTIS de Itapema - AVANTIS Itapema;AVANTIS Itapema;Privada;N;N;N;Faculdade;4208302.0;Itapema;SC;Ativa
685;FACULDADE DO BELO JARDIM - FBJ;FBJ;Pública;N;N;N;Faculdade;2601706.0;Belo Jardim;PE;Ativa
4594;FACULDADE CATÓLICA DE RONDONIA - FCR;FCR;Privada;N;N;N;Faculdade;1100205.0;Porto Velho;RO;Ativa
12189;FACUMINAS Faculdade - FACUMINAS;FACUMINAS;Privada;N;N;N;Faculdade;3143302.0;Montes Claros;MG;Ativa
472;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY - UNIGRANRIO;UNIGRANRIO;Privada;N;N;N;Universidade;3301702.0;Duque de Caxias;RJ;Ativa
4197;Centro Universitário Maurício de Nassau Aliança - Uninassau Aliança;Uninassau Aliança;Privada;N;N;N;Centro Universitário;2211001.0;Teresina;PI;Ativa
11750;FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM - -;-;Privada;N;N;N;Faculdade;3557006.0;Votorantim;SP;Ativa
4889;FACULDADE CONECTADA FACONNECT - FACONNECT;FACONNECT;Privada;N;N;N;Faculdade;3512308.0;Conchas;SP;Ativa
1547;FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE - ESTÁCIO FMJ;ESTÁCIO FMJ;Privada;N;N;N;Faculdade;2307304.0;Juazeiro do Norte;CE;Ativa
17667;FACULDADE ANHANGUERA UNIDADE PARAUAPEBAS;;Privada;N;N;N;Faculdade;1505536.0;Parauapebas;PA;Ativa
4255;Centro Universitário de Rondônia - Unesc;Unesc;Privada;N;N;N;Centro Universitário;1100049.0;Cacoal;RO;Ativa
12346;FACULDADE METROPOLITANA SÃO CARLOS - FAMESC;FAMESC;Privada;N;N;N;Faculdade;3304151.0;Quissamã;RJ;Extinta
